Stock#,Serial,Status,MY,Model Line,Model Code,Description,Trans,Ext,Int,MSRP,Inv,Location,DIS,ETA,Production Month
,SK76335,,2027,QX60,84217,QX60 LUXE AWD,AUTO,GAT,G,"62,335","59,268",ONS,0,Month of August,2026-08
,334896,,2027,QX60,84417,QX60 SPORT AWD,AUTO,GAT,G,"66,470","63,800",DLR-INV,41,06/08/2026,2026-05
,338131,,2027,QX60,84417,QX60 SPORT AWD,AUTO,KBY,G,"66,470","63,800",DLR-INV,36,06/15/2026,2026-06
N15190,337431,Deal Opened,2027,QX60,84417,QX60 SPORT AWD,AUTO,GAT,G,"66,470","63,800",DLR-INV,36,06/15/2026,2026-06
,SK76337,,2027,QX60,84417,QX60 SPORT AWD,AUTO,GAT,G,"66,470","63,151",ONS,0,Month of August,2026-08
,333968,,2027,QX60,84417,QX60 SPORT AWD,AUTO,QBE,G,"66,675","63,996",DLR-INV,65,05/14/2026,2026-05
,340508,,2027,QX60,84417,QX60 SPORT AWD,AUTO,QBE,G,"66,675","63,345",SIT,0,07/29/2026,2026-07
,338432,,2027,QX60,84417,QX60 SPORT AWD,AUTO,XKJ,G,"67,045","64,376",DLR-INV,24,06/24/2026,2026-06
,335189,,2027,QX60,84417,QX60 SPORT AWD,AUTO,XKJ,G,"67,675","64,956",DLR-INV,60,05/19/2026,2026-05
,334278,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAT,G,"70,115","67,303",DLR-INV,43,06/05/2026,2026-05
,337625,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAT,G,"70,115","67,303",DLR-INV,38,06/10/2026,2026-06
,SK76323,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,P,"70,115","66,618",ONS,0,Month of August,2026-08
,SK76326,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAT,K,"70,115","66,618",ONS,0,Month of August,2026-08
,SK76327,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAT,G,"70,115","66,618",ONS,0,Month of August,2026-08
,SK76332,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,K,"70,115","66,618",ONS,0,Month of September,2026-08
,SK76333,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAT,P,"70,115","66,618",ONS,0,Month of August,2026-08
,SK76336,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,G,"70,115","66,618",ONS,0,Month of September,2026-08
,338557,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAT,P,"70,810","67,971",DLR-INV,31,06/17/2026,2026-06
N15118WEST,330181,Deal Opened,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAQ,P,"71,065","67,518",DLR-INV,86,04/22/2026,2026-04
,334832,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAQ,G,"71,115","68,263",DLR-INV,62,05/26/2026,2026-05
,340520,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAQ,K,"71,115","67,568",NNA-INV,0,07/27/2026,2026-07
,340710,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAQ,G,"71,115","67,568",SIT,0,07/29/2026,2026-07
,SK76321,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAQ,P,"71,115","67,568",ONS,0,Month of September,2026-08
,SK76324,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAQ,K,"71,115","67,568",ONS,0,Month of September,2026-08
,SK76325,,2027,QX60,84617,QX60 AUTO AWD,AUTO,GAQ,G,"71,115","67,568",ONS,0,Month of September,2026-08
,334010,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKD,G,"71,810","68,931",DLR-INV,59,05/20/2026,2026-05
,333165,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XHU,G,"71,810","68,931",DLR-INV,74,05/05/2026,2026-04
,333719,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKD,G,"71,810","68,931",DLR-INV,74,05/05/2026,2026-04
IM334778,334778,Deal Opened,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,K,"72,015","69,127",DLR-INV,53,05/14/2026,2026-05
N15159,335471,Deal Opened,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,K,"72,015","69,127",DLR-INV,59,05/20/2026,2026-05
N15207,336167,Deal Opened,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,P,"72,015","69,127",DLR-INV,25,06/23/2026,2026-05
,337352,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,P,"72,015","69,127",DLR-INV,38,06/09/2026,2026-06
,337473,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,P,"72,015","69,127",DLR-INV,38,06/10/2026,2026-06
,340360,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,K,"72,015","68,423",NNA-INV,0,07/24/2026,2026-07
,340741,,2027,QX60,84617,QX60 AUTO AWD,AUTO,XKJ,K,"72,015","68,423",SIT,0,07/30/2026,2026-07
,604805,,2027,QX65,85017,QX65 LUXE AWD,AUTO,KH3,G,"56,120","53,376",NNA-INV,0,07/27/2026,2026-07
,604999,,2027,QX65,85017,QX65 LUXE AWD,AUTO,QBE,G,"57,020","54,231",SIT,0,Week of 07/30/2026,2026-07
,SK72793,,2027,QX65,85017,QX65 LUXE AWD,AUTO,QBE,K,"57,020","54,231",ONS,0,Month of September,2026-08
,SK72789,,2027,QX65,85117,QX65 SPORT AWD,AUTO,GAT,G,"59,005","56,098",ONS,0,Month of August,2026-08
,SK72790,,2027,QX65,85117,QX65 SPORT AWD,AUTO,KBY,G,"59,005","56,098",ONS,0,Month of August,2026-08
,SK72800,,2027,QX65,85117,QX65 SPORT AWD,AUTO,KBY,G,"59,005","56,098",ONS,0,Month of August,2026-08
,SK72794,,2027,QX65,85117,QX65 SPORT AWD,AUTO,QBE,G,"59,210","56,292",ONS,0,Month of August,2026-08
,SK72795,,2027,QX65,85117,QX65 SPORT AWD,AUTO,QBE,G,"59,210","56,292",ONS,0,Month of September,2026-08
,SK72797,,2027,QX65,85117,QX65 SPORT AWD,AUTO,XEX,G,"60,005","57,048",ONS,0,Month of August,2026-08
,SK72798,,2027,QX65,85117,QX65 SPORT AWD,AUTO,XEX,G,"60,005","57,048",ONS,0,Month of September,2026-08
,RE17590,,2027,QX65,85217,QX65 AUTO AWD,AUTO,GAT,N,"65,905","62,653",ONS,0,Month of August,2026-07
,600978,Deal Opened,2027,QX65,85217,QX65 AUTO AWD,AUTO,XKJ,K,"67,110","64,452",DLR-INV,2,05/28/2026,2026-05
,604264,,2027,QX65,85217,QX65 AUTO AWD,AUTO,XKJ,K,"67,110","64,452",DLR-INV,15,07/03/2026,2026-06
,604251,,2027,QX65,85217,QX65 AUTO AWD,AUTO,XKJ,K,"67,110","64,452",DLR-INV,15,07/03/2026,2026-06
,604636,,2027,QX65,85217,QX65 AUTO AWD,AUTO,XKJ,K,"67,110","63,797",NNA-INV,0,07/27/2026,2026-07
,605355,,2027,QX65,85217,QX65 AUTO AWD,AUTO,XKJ,N,"67,110","63,797",SIT,0,Week of 08/03/2026,2026-07
,604907,,2027,QX65,85217,QX65 AUTO AWD,AUTO,XKJ,K,"67,110","63,797",SIT,0,Week of 07/29/2026,2026-07
,SK72796,,2027,QX65,85217,QX65 AUTO AWD,AUTO,XKJ,K,"67,110","63,797",ONS,0,Month of September,2026-08
VC600414,600414,Deal Opened,2027,QX65,85217,QX65 AUTO AWD,AUTO,XJU,K,"67,355","64,689",DLR-INV,29,05/28/2026,2026-04
VC601548,601548,Deal Opened,2027,QX65,85217,QX65 AUTO AWD,AUTO,XEX,G,"67,355","64,689",DLR-INV,29,05/28/2026,2026-05
,SK74883,,2027,QX80,86317,QX80 LUXE 2WD,AUTO,QBE,P,,,ONS,0,Month of November,2026-08
N15222,020292,Deal Opened,2027,QX80,83317,QX80 LUXE 2WD,AUTO,KH3,P,"94,265","90,579",DLR-INV,15,07/04/2026,2026-05
,020365,,2027,QX80,83317,QX80 LUXE 2WD,AUTO,KH3,P,"94,265","90,579",DLR-INV,15,07/04/2026,2026-05
,020307,,2027,QX80,83317,QX80 LUXE 2WD,AUTO,KH3,G,"94,690","90,978",DLR-INV,2,07/19/2026,2026-05
,020780,,2027,QX80,83317,QX80 LUXE 2WD,AUTO,KH3,P,"95,270","90,580",SIT,0,08/27/2026,2026-06
,020326,,2027,QX80,83317,QX80 LUXE 2WD,AUTO,QBE,G,"95,590","91,842",DLR-INV,2,07/19/2026,2026-05
,020317,,2027,QX80,83317,QX80 LUXE 2WD,AUTO,QBE,P,"95,590","91,842",DLR-INV,2,07/19/2026,2026-05
,020749,,2027,QX80,83317,QX80 LUXE 2WD,AUTO,QBE,P,"96,170","91,435",SIT,0,08/27/2026,2026-06
,020779,,2027,QX80,83317,QX80 LUXE 2WD,AUTO,QBE,P,"96,170","91,435",SIT,0,08/27/2026,2026-06
,452257,,2027,QX80,83217,QX80 LUXE 4WD,AUTO,KH3,P,"98,270","93,430",SIT,0,08/27/2026,2026-06
,450112,,2027,QX80,83417,QX80 SPORT 4WD,AUTO,GAT,G,"106,610","102,348",DLR-INV,13,07/06/2026,2026-04
,450141,,2027,QX80,83417,QX80 SPORT 4WD,AUTO,KCN,G,"106,610","102,348",DLR-INV,13,07/06/2026,2026-04
,452008,,2027,QX80,83417,QX80 SPORT 4WD,AUTO,KCN,G,"107,035","101,744",SIT,0,08/27/2026,2026-06
,452200,,2027,QX80,83417,QX80 SPORT 4WD,AUTO,GAT,G,"107,035","101,744",SIT,0,08/27/2026,2026-06
,452301,,2027,QX80,83417,QX80 SPORT 4WD,AUTO,GAT,G,"107,035","101,744",SIT,0,08/27/2026,2026-06
,452026,,2027,QX80,83417,QX80 SPORT 4WD,AUTO,KCN,G,"107,035","101,744",SIT,0,08/27/2026,2026-06
,450171,,2027,QX80,83417,QX80 SPORT 4WD,AUTO,XKJ,G,"107,815","103,492",DLR-INV,13,07/06/2026,2026-04
,452299,,2027,QX80,83417,QX80 SPORT 4WD,AUTO,XLF,G,"108,035","102,694",SIT,0,08/27/2026,2026-06
,452135,,2027,QX80,83417,QX80 SPORT 4WD,AUTO,XKJ,G,"108,240","102,888",SIT,0,08/27/2026,2026-06
,QH93092,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XLF,G,"116,500","110,782",ONS,0,Month of August,2026-07
,640202,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,GAT,A,"116,770","112,047",DLR-INV,13,07/06/2026,2026-04
,640200,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,GAT,A,"116,770","112,047",DLR-INV,15,07/04/2026,2026-04
,641393,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,GAT,A,"117,195","111,443",SIT,0,08/27/2026,2026-06
,640143,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XLF,A,"117,770","112,997",DLR-INV,10,07/08/2026,2026-04
,640442,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XLF,A,"117,770","112,997",DLR-INV,13,07/06/2026,2026-04
,640289,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XLF,G,"117,770","112,997",DLR-INV,15,07/04/2026,2026-04
,640322,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XLF,G,"117,770","112,997",DLR-INV,10,07/08/2026,2026-04
,640185,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XKJ,A,"117,975","113,191",DLR-INV,15,07/04/2026,2026-04
,640174,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XKJ,A,"117,975","113,191",DLR-INV,10,07/08/2026,2026-04
,640166,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XKJ,G,"117,975","113,191",DLR-INV,15,07/04/2026,2026-04
,640810,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XKJ,A,"117,975","113,191",DLR-INV,13,07/06/2026,2026-05
,641319,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XKD,A,"118,195","112,393",SIT,0,Month of August,2026-06
,641336,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XLF,A,"118,195","112,393",SIT,0,Month of August,2026-06
,640790,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XKJ,A,"118,400","113,586",DLR-INV,2,07/19/2026,2026-05
,641443,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XKJ,G,"118,400","112,587",SIT,0,08/27/2026,2026-06
,641464,,2027,QX80,83617,QX80 AUTO 4WD,AUTO,XKJ,G,"118,400","112,587",SIT,0,08/27/2026,2026-06
