Sales Month,Stock#,Model,VIN,DAYS TO SELL,MODEL CODE,EXT CODE,INT CODE
202603,,QX80 SPORT,JN8AZ3DB0T9433569,53,8381,XLF,D
202410,N14606,QX60 2.0T FWD PUR,5N1AL1ER5SC337950,25,8411,GAT,C
202411,N14661,QX60 2.0T FWD PUR,5N1AL1ER4SC344503,7,8411,GAT,G
202409,N14589,QX60 2.0T FWD PUR,5N1AL1ER4SC335946,7,8411,GAT,G
202409,N14588,QX60 2.0T FWD PUR,5N1AL1ER3SC335758,12,8411,GAT,G
202411,N14647,QX60 2.0T FWD PUR,5N1AL1ER1SC343552,16,8411,GAT,G
202503,N14807,QX60 2.0T FWD PUR,5N1AL1ER7SC349906,76,8411,GAT,G
202410,N14596,QX60 2.0T FWD PUR,5N1AL1ER7SC338520,27,8411,KAD,C
202501,N14722,QX60 2.0T FWD PUR,5N1AL1ER9SC347204,35,8411,KAD,C
202512,,QX60 PURE FWD,5N1AL1ERXTC347407,9,8411,KH3,G
202512,,QX60 PURE FWD,5N1AL1ER7TC332282,DT,8411,KH3,G
202508,N14899,QX60 2.0T FWD PUR,5N1AL1ER6TC332788,1,8411,KH3,K
202412,N14703,QX60 2.0T FWD PUR,5N1AL1ER2SC345892,5,8411,QAK,C
202412,N14717,QX60 2.0T FWD PUR,5N1AL1ER5SC346857,8,8411,QAK,C
202411,N14628,QX60 2.0T FWD PUR,5N1AL1ER9SC342102,16,8411,QAK,C
202410,N14608,QX60 2.0T FWD PUR,5N1AL1ER2SC339185,24,8411,QAK,C
202501,N14736,QX60 2.0T FWD PUR,5N1AL1ER5SC347720,29,8411,QAK,C
202504,N14787,QX60 2.0T FWD PUR,5N1AL1ER2SC350266,72,8411,QAK,C
202506,N14824,QX60 2.0T FWD PUR,5N1AL1ER3SC353743,101,8411,QAK,C
202409,N14579,QX60 2.0T FWD PUR,5N1AL1ER4SC334389,15,8411,QAK,G
202509,N14861,QX60 2.0T FWD PUR,5N1AL1ER4SC356425,32,8411,QAK,G
202510,,QX60 2.0T FWD PUR,5N1AL1ER1TC341897,8,8411,QBE,K
202511,,QX60 2.0T FWD PUR,5N1AL1ER7TC343122,17,8411,QBE,K
202512,,QX60 PURE FWD,5N1AL1ER1TC346534,21,8411,QBE,K
202509,N14913,QX60 2.0T FWD PUR,5N1AL1ER6TC336257,DT,8411,QBE,K
202602,,QX60 LUXE AWD,5N1AL1FS8TC330641,40,8421,DAT,K
202604,,QX60 LUXE AWD,5N1AL1FS6TC359166,16,8421,GAT,G
202602,,QX60 LUXE AWD,5N1AL1FS1TC340492,18,8421,GAT,G
202602,,QX60 LUXE AWD,5N1AL1FSXTC338580,25,8421,GAT,G
202605,,QX60 LUXE AWD,5N1AL1FS3TC359058,32,8421,QBE,G
202510,,QX60 2.0T FWD LUX,5N1AL1FR6TC340503,24,8431,DAT,K
202411,N14546,QX60 2.0T FWD LUX,5N1AL1FR4SC331989,101,8431,GAT,C
202502,N14644,QX60 2.0T FWD LUX,5N1AL1FRXSC340888,118,8431,GAT,C
202604,,QX60 LUXE FWD,5N1AL1FR7TC358315,3,8431,GAT,G
202603,,QX60 LUXE FWD,5N1AL1FR5TC352643,32,8431,GAT,G
202509,,QX60 2.0T FWD LUX,5N1AL1FR9TC335702,36,8431,GAT,G
202501,N14659,QX60 2.0T FWD LUX,5N1AL1FR9SC344835,59,8431,GAT,G
202411,N14542,QX60 2.0T FWD LUX,5N1AL1FR9SC330563,98,8431,GAT,G
202411,N14535,QX60 2.0T FWD LUX,5N1AL1FR0SC333240,99,8431,GAT,G
202411,N14551,QX60 2.0T FWD LUX,5N1AL1FRXSC333407,104,8431,GAT,G
202506,N14769,QX60 2.0T FWD LUX,5N1AL1FRXSC348487,150,8431,GAT,G
202506,N14658,QX60 2.0T FWD LUX,5N1AL1FR6SC344873,198,8431,GAT,G
202604,,QX60 LUXE FWD,5N1AL1FR4TC357672,9,8431,GAT,K
202601,,QX60 LUXE,5N1AL1FR3TC330110,30,8431,GAT,K
202604,,QX60 LUXE FWD,5N1AL1FRXTC354081,DT,8431,GAT,K
202505,,QX60 2.0T FWD LUX,5N1AL1FR4SC350932,100,8431,KAD,C
202502,N14623,QX60 2.0T FWD LUX,5N1AL1FR2SC340268,103,8431,KAD,C
202606,,QX60 LUXE FWD,5N1AL1F53VC331760,36,8431,KAD,K
202511,,QX60 2.0T FWD LUX,5N1AL1FR3TC337851,DT,8431,KAD,K
202603,,QX60 LUXE FWD,5N1AL1FR4TC352780,DT,8431,KAD,K
202602,,QX60 LUXE FWD,5N1AL1FR7TC352532,3,8431,KBY,G
202505,,QX60 2.0T FWD LUX,5N1AL1FR6SC341911,190,8431,KBY,G
202603,,QX60 LUXE FWD,5N1AL1FR3TC352804,DT,8431,KBY,G
202411,N14639,QX60 2.0T FWD LUX,5N1AL1FR9SC343460,14,8431,KCF,C
202412,N14685,QX60 2.0T FWD LUX,5N1AL1FR1SC345008,30,8431,KCF,C
202503,N14677,QX60 2.0T FWD LUX,5N1AL1FR4SC344919,115,8431,KCF,C
202506,N14773,QX60 2.0T FWD LUX,5N1AL1FR5SC349353,149,8431,KCF,C
202505,N14796,QX60 2.0T FWD LUX,5N1AL1FR0SC350622,116,8431,KCF,G
202603,,QX60 LUXE FWD,5N1AL1FR4TC357865,1,8431,KCF,K
202509,,QX60 2.0T FWD LUX,5N1AL1FR7TC335083,17,8431,KCF,K
202510,,QX60 2.0T FWD LUX,5N1AL1FR4TC337499,DT,8431,NBM,K
202410,N14617,QX60 2.0T FWD LUX,5N1AL1FR4SC340398,14,8431,QAB,C
202411,N14638,QX60 2.0T FWD LUX,5N1AL1FR6SC343156,15,8431,QAB,C
202412,N14692,QX60 2.0T FWD LUX,5N1AL1FR5SC345612,26,8431,QAB,C
202410,N14592,QX60 2.0T FWD LUX,5N1AL1FR6SC336949,38,8431,QAB,C
202503,N14782,QX60 2.0T FWD LUX,5N1AL1FR5SC349692,44,8431,QAB,C
202502,N14686,QX60 2.0T FWD LUX,5N1AL1FR7SC345367,68,8431,QAB,C
202504,N14797,QX60 2.0T FWD LUX,5N1AL1FR4SC350638,68,8431,QAB,C
202501,N14581,QX60 2.0T FWD LUX,5N1AL1FR1SC334431,142,8431,QAB,C
202504,,QX60 2.0T FWD LUX,5N1AL1FR5SC345495,150,8431,QAB,C
202503,N14621,QX60 2.0T FWD LUX,5N1AL1FRXS340552,158,8431,QAB,C
202506,N14698,QX60 2.0T FWD LUX,5N1AL1FR0SC345498,197,8431,QAB,C
202503,N14779,QX60 2.0T FWD LUX,5N1AL1FR3SC350288,51,8431,QAB,G
202506,N14715,QX60 2.0T FWD LUX,5N1AL1FR1SC346529,200,8431,QAB,G
202603,,QX60 LUXE FWD,5N1AL1FR8TC357125,2,8431,QBE,K
202605,,QX60 LUXE FWD,5N1AL1F55VC331288,36,8431,QBE,K
202604,,QX60 LUXE FWD,5N1AL1FR4TC353153,DT,8431,QBE,K
202605,,QX60 LUXE FWD,5N1AL1FRXTC358311,DT,8431,QBE,K
202503,N14806,QX60 2.0T AWD SEN,5N1AL1GS9SC348644,29,8441,GAT,C
202604,,QX60 SPORT,5N1AL1FW7TC358188,9,8441,GAT,D
202512,,QX60 SPORT,5N1AL1FW2TC347213,19,8441,GAT,D
202602,,QX60 SPORT,5N1AL1FW7TC338684,22,8441,GAT,D
202509,N14894,QX60 AWD SPORT,5N1AL1FW5TC332205,25,8441,GAT,D
202602,,QX60 SPORT AWD,5N1AL1FW7TC338684,25,8441,GAT,D
202512,,QX60 2.0T AWD SPORT,5N1AL1FW7TC336790,83,8441,GAT,D
202605,,QX60 SPORT,5N1AL1F9XVC331287,15,8441,GAT,G
202603,,QX60 SPORT,5N1AL1FW2TC339290,51,8441,GAT,G
202409,N14553,QX60 2.0T AWD SEN,5N1AL1GS5SC330934,50,8441,KBY,G
202508,N14811,QX60 2.0T AWD SEN,5N1AL1GS5SC351640,172,8441,KBY,G
202508,N14778,QX60 2.0T AWD SEN,5N1AL1GS4SC350043,190,8441,KBY,G
202503,N14785,QX60 2.0T AWD SEN,5N1AL1GS9SC350247,30,8441,KBY,P
202410,N14554,QX60 2.0T AWD SEN,5N1AL1GS0SC331912,68,8441,KBY,P
202504,N14705,QX60 2.0T AWD SEN,5N1AL1GS9SC346229,115,8441,KCF,C
202503,N14790,QX60 2.0T AWD SEN,5N1AL1GS349388,52,8441,NBM,G
202502,N14679,QX60 2.0T AWD SEN,5N1AL1GS2SC344371,76,8441,QAB,C
202412,N14713,QX60 2.0T AWD SEN,5N1AL1GSXSC330492,32,8441,QAB,P
202502,N14771,QX60 2.0T AWD SEN,5N1AL1GS6SC348570,36,8441,QAB,P
202409,N14557,QX60 2.0T AWD SEN,5N1AL1GS3SC332309,37,8441,QAB,P
202507,N14873,QX60 2.0T AWD SEN,5N1AL1GS2SC357069,98,8441,QAB,P
202504,N14735,QX60 2.0T AWD SEN,5N1AL1GS1SC346113,99,8441,QAB,P
202507,N14770,QX60 2.0T AWD SEN,5N1AL1GSXSC348488,174,8441,QAB,S
202603,,QX60 SPORT,5N1AL1FW0TC345900,DT,8441,QBE,D
202601,,QX60 SPORT,5N1AL1FW3TC340299,111,8441,QBE,G
202602,,QX60 SPORT,5N1AL1FW8TC339472,34,8441,XKJ,D
202601,,QX60 SPORT,5N1AL1FW6TC339163,36,8441,XKJ,G
202603,,QX60 PURE FWD,5N1AL1ER2TC356604,DT,8451,KH3,G
202603,,QX60 PURE FWD,5N1AL1ER7TC356503,4,8451,KH3,K
202601,,QX60 PURE,5N1AL1ER6TC348344,9,8451,QBE,K
202604,,QX60 PURE FWD,5N1AL1ER5TC357651,9,8451,QBE,K
202601,,QX60 PURE FWD,5N1AL1ER8TC348748,10,8451,QBE,K
202606,,QX60 AUTOGRAPH,5N1AL1HZ2VC334911,12,8461,GAT,P
202606,,QX60 AUTOGRAPH,5N1AL1HZXVC335207,11,8461,XKD,P
202602,,QX60 AUTOGRAPH,5N1AL1HU0TC335752,10,8481,GAQ,G
202512,,QX60 AUTOGRAPH,5N1AL1HU8TC341945,14,8481,GAQ,G
202604,,QX60 AUTOGRAPH,5N1AL1HU9TC356728,31,8481,GAQ,G
202602,,QX60 AUTOGRAPH,5N1AL1HU0TC335752,DT,8481,GAQ,G
202604,,QX60 AUTOGRAPH,5N1AL1HU3TC358734,19,8481,GAQ,K
202508,,QX60 2.0T AWD AUTO,5N1AL1HU7TC334601,15,8481,GAQ,P
202604,,QX60 AUTOGRAPH,5N1AL1HUXTC354616,45,8481,GAQ,P
202509,N14803,QX60 2.0T AWD AUTO,5N1AL1HU1SC351036,225,8481,GAQ,P
202605,,QX60 AUTOGRAPH,5N1AL1HUXTC357659,40,8481,GAT,G
202504,,QX60 2.0T AWD AUTO,5N1AL1HU2SC354060,48,8481,GAT,G
202508,,QX60 2.0T AWD AUTO,5N1AL1HU2TC334313,68,8481,GAT,G
